582.737;567.012;553.933;543.936;536.794;531.849;528.352;525.842;524.375;523.638;523.301;523.153;523.091;523.075;523.102;523.204;523.47;524.085;525.347;527.565;530.835;536.121;545.4;561.751;589.702;636.408;715.929;864.674
567.007;536.948;511.938;492.792;479.041;469.323;462.035;456.245;453.123;451.683;451.056;450.785;450.668;450.632;450.674;450.851;451.345;452.571;455.329;460.57;467.389;477.584;494.928;524.904;574.759;653.749;773.998;951.769
553.917;511.919;476.95;450.141;430.763;416.662;404.974;393.26;388.532;386.731;386.004;385.68;385.525;385.464;385.494;385.673;386.227;387.789;392.115;403.109;414.145;428.591;452.13;491.991;556.693;655.173;795.082;979.619
543.902;492.744;450.105;417.402;393.747;376.22;360.252;333.668;330.161;329.278;328.856;328.589;328.417;328.326;328.323;328.387;328.624;329.355;332.714;358.515;374.008;391.481;419.122;465.376;539.259;648.947;799.054;987.115
536.743;478.96;430.685;393.699;367.336;348.372;336.558;324.068;323.07;322.562;322.21;321.952;321.777;321.682;321.681;321.724;321.892;322.27;323.251;335.559;348.658;366.485;396.12;446.018;525.176;641.146;796.941;987.878
531.785;469.218;416.548;376.124;348.365;325.084;322.712;322.614;321.979;321.568;321.245;320.99;320.801;320.702;320.698;320.785;320.956;321.221;321.71;322.259;334.074;351.29;381.586;433.313;515.297;634.681;793.719;986.865
528.282;461.921;404.845;360.064;336.491;323.008;321.726;322.017;321.611;321.143;320.833;320.577;320.364;320.273;320.158;320.338;320.339;320.509;320.89;320.687;327.434;343.058;373.236;425.74;509.132;630.297;791.134;985.759
525.774;456.15;393.217;334.402;324.245;322.502;321.551;321.322;321.069;320.673;320.375;320.119;319.902;319.774;319.685;319.573;319.671;319.734;319.736;319.532;324.219;338.843;368.796;421.599;505.652;627.7;789.486;984.987
524.307;453.025;388.461;330.565;323.039;321.952;321.245;320.83;320.64;320.207;319.924;319.664;319.414;319.31;319.126;319.041;318.974;318.967;318.916;318.693;322.584;336.753;366.577;419.499;503.852;626.318;788.574;984.542
523.57;451.58;386.648;329.639;322.523;321.525;320.872;320.499;320.336;319.9;319.624;319.359;319.091;318.951;318.719;318.571;318.473;318.331;318.248;318.028;321.693;335.722;365.513;418.498;502.987;625.643;788.12;984.316
523.231;450.952;385.917;329.211;322.169;321.193;320.563;320.177;320.039;319.585;319.306;319.032;318.743;318.595;318.32;318.133;317.988;317.812;317.698;317.488;321.156;335.192;365.008;418.039;502.596;625.338;787.912;984.212
523.083;450.679;385.591;328.942;321.911;320.937;320.307;319.916;319.782;319.316;319.028;318.743;318.435;318.275;317.969;317.751;317.575;317.37;317.239;317.038;320.785;334.884;364.752;417.827;502.424;625.207;787.823;984.167
523.021;450.562;385.435;328.77;321.735;320.754;320.108;319.724;319.572;319.105;318.798;318.497;318.184;317.991;317.679;317.422;317.246;316.98;316.85;316.652;320.473;334.656;364.593;417.716;502.346;625.152;787.788;984.149
523.005;450.526;385.373;328.679;321.64;320.657;319.997;319.545;319.376;318.876;318.544;318.227;317.886;317.715;317.369;317.093;316.884;316.617;316.433;316.249;320.121;334.418;364.455;417.642;502.306;625.13;787.776;984.144
523.031;450.566;385.403;328.675;321.638;320.65;319.97;319.536;319.222;318.75;318.384;318.044;317.719;317.461;317.207;316.971;316.587;316.263;316.064;315.787;319.58;334.093;364.3;417.581;502.291;625.132;787.782;984.148
523.132;450.744;385.583;328.741;321.682;320.732;320.182;319.483;319.071;318.575;318.165;317.8;317.462;317.186;316.925;316.69;316.206;315.826;315.574;313.374;318.497;333.64;364.147;417.562;502.323;625.176;787.819;984.169
523.399;451.239;386.139;328.984;321.851;320.895;320.272;319.565;318.929;318.404;317.932;317.526;317.184;316.843;316.545;316.086;311.555;309.729;309.456;310.836;317.483;333.328;364.15;417.693;502.488;625.329;787.934;984.23
524.014;452.467;387.711;329.755;322.238;321.121;320.418;319.62;318.885;318.278;317.77;317.336;316.961;316.598;316.258;315.696;309.725;307.308;307.228;309.778;317.261;333.568;364.605;418.216;502.994;625.76;788.247;984.395
525.274;455.225;392.062;333.429;323.418;321.531;320.715;319.638;318.836;318.181;317.64;317.187;316.801;316.396;316.031;315.412;309.464;307.243;307.473;310.524;318.409;334.949;366.069;419.649;504.297;626.842;789.025;984.803
527.491;460.449;402.972;358.322;335.501;322.458;320.718;319.53;318.679;318.013;317.474;317.027;316.643;316.242;315.765;313.447;310.901;309.837;310.564;313.924;321.997;338.602;369.663;423.046;507.34;629.355;790.829;985.748
530.771;467.285;414.033;373.912;348.63;334.094;327.512;324.324;322.703;321.82;321.287;320.917;320.607;320.258;319.723;318.642;317.624;317.393;318.521;322.068;330.191;346.711;377.516;430.411;513.913;634.773;794.715;987.783
536.084;477.529;428.55;391.48;366.549;351.415;343.236;339.055;336.985;335.965;335.441;335.136;334.91;334.673;334.349;333.896;333.58;333.81;335.17;338.782;346.82;363.061;393.294;445.183;527.086;645.626;802.497;991.858
545.408;494.955;452.196;419.247;396.316;381.849;373.553;369.15;366.953;365.902;365.404;365.151;364.994;364.857;364.702;364.548;364.547;364.991;366.435;369.989;377.772;393.441;422.585;472.594;551.524;665.76;816.934;999.417
561.823;525.04;492.192;465.649;446.367;433.731;426.213;422.11;420.033;419.044;418.592;418.383;418.275;418.2;418.14;418.119;418.245;418.76;420.172;423.531;430.829;445.496;472.763;519.545;593.382;700.244;841.66;1012.36
589.863;575.023;557.032;539.671;525.661;515.847;509.734;506.289;504.511;503.658;503.274;503.105;503.028;502.989;502.973;503.003;503.165;503.662;504.947;507.955;514.467;527.542;551.846;593.542;659.349;754.591;880.628;1032.77
636.716;654.155;655.622;649.443;641.696;635.284;630.942;628.376;627.012;626.348;626.048;625.919;625.865;625.844;625.845;625.888;626.039;626.462;627.529;630.012;635.378;646.148;666.166;700.508;754.708;833.152;936.959;1062.27
716.573;774.562;795.568;799.525;797.435;794.245;791.689;790.063;789.165;788.718;788.514;788.427;788.392;788.381;788.387;788.422;788.535;788.843;789.611;791.392;795.24;802.961;817.312;841.93;880.785;937.018;1011.43;1101.26
866.398;952.433;979.995;987.42;988.176;987.175;986.083;985.322;984.884;984.662;984.56;984.516;984.499;984.494;984.498;984.518;984.578;984.74;985.142;986.075;988.09;992.133;999.646;1012.53;1032.88;1062.32;1101.28;1148.31
